出発地点,行先,移動時間[s]
1,2,4969.9
1,3,4580.9
1,4,4332.1
1,5,4617.9
1,7,4270.1
1,8,4021.4
1,9,4366.5
1,10,4772.3
2,3,3466.0
2,4,2900.7
2,5,3503.0
2,7,2900.8
2,8,2652.1
2,9,2935.1
2,10,3327.4
3,2,3461.0
3,4,1443.7
3,5,202.9
3,7,624.7
3,8,907.1
3,9,1430.4
3,10,1105.5
4,2,2888.2
4,3,1443.9
4,5,1542.8
4,7,1981.7
4,8,2037.9
4,9,34.4
4,10,656.9
5,2,3579.9
5,3,311.9
5,4,1651.7
5,7,770.7
5,8,1053.1
5,9,1638.3
5,10,1313.5
7,2,2895.7
7,3,624.7
7,4,1981.6
7,5,661.7
7,8,341.9
7,9,1968.2
7,10,1643.3
8,2,2647.1
8,3,907.1
8,4,2035.2
8,5,944.1
8,7,341.9
8,9,2069.6
8,10,1925.7
9,2,2922.6
9,3,1430.5
9,4,34.4
9,5,1529.5
9,7,1968.3
9,8,2072.4
9,10,643.6
